video_id,title,description_length,publish_date,category_id,tags_count,view_count,like_count,comment_count,duration_sec,thumbnail_brightness,face_count,channel_title,subscriber_count,channel_country,upload_hour,upload_day,days_since_upload,est_views_7d,est_views_30d
CFJlK2Ycdf0,CHUMBAK - Bageko Bagai (Full EP),602,2022-08-18T13:15:16Z,10,0,19360,641,39,1017,64.63871720679012,0,KLM RECORDS,20300,US,13,Thursday,1049,129,553
I9GXzy2gsUM,CHUMBAK - Nachana,711,2022-08-03T18:50:51Z,10,0,19571,778,45,196,82.64801697530864,0,KLM RECORDS,20300,US,18,Wednesday,1064,128,551
DWa_HLrAW64,CHUMBAK X EVAA - Bagdai Chhu,91,2022-06-26T17:32:09Z,10,0,3857,221,21,233,103.8232349537037,0,KLM RECORDS,20300,US,17,Sunday,1102,24,105
66cOP2bPVak,CHUMBAK - Aafai Sanga,57,2022-06-24T17:59:55Z,10,0,37599,1280,41,279,31.032399691358023,0,KLM RECORDS,20300,US,17,Friday,1104,238,1021
WCfNkmMTWIE,CHUMBAK - TAADAI TIK CHU,91,2022-06-21T00:53:20Z,10,0,43966,1252,50,268,126.04568479938271,0,KLM RECORDS,20300,US,0,Tuesday,1108,277,1190
RxM4yCF4wQU,मेरो देश - The Shadows 'Nepal',431,2021-10-14T11:42:45Z,10,0,57298,3640,180,368,133.73711419753087,0,The Shadows 'Nepal',93000,NP,11,Thursday,1357,295,1266
BaMerY8rOrY,Abasaad - The Shadows 'Nepal' Official Lyrical Video,569,2020-06-20T06:15:13Z,10,0,534151,17699,679,294,54.030663580246916,1,The Shadows 'Nepal',93000,NP,6,Saturday,1839,2033,8713
5kG06KGLxsE,The Shadows 'Nepal' -  Aama  |  आमा,1210,2020-04-23T12:45:10Z,10,0,282997,13655,518,303,122.35452932098765,0,The Shadows 'Nepal',93000,NP,12,Thursday,1896,1044,4477
lWcwudHPqXE,The Shadows 'Nepal' - K Pais Nepali ? Official Music Video,1105,2019-08-03T04:13:19Z,10,14,1344503,53640,2142,314,25.18145061728395,0,The Shadows 'Nepal',93000,NP,4,Saturday,2161,4355,18665
BGCc4fDhj9A,The Shadows 'Nepal' - Balaatkaari Lai Faansi Dey | बलात्कारीलाई फाँसी दे !,1175,2019-05-31T13:13:45Z,10,14,608675,28194,1461,368,8.311853780864197,0,The Shadows 'Nepal',93000,NP,13,Friday,2224,1915,8210
zq6g1xgCOTI,'Aath Din' OFFICIAL -The Shadows 'Nepal',638,2016-03-02T10:51:49Z,10,10,916076,13803,447,350,59.64914737654321,0,The Shadows 'Nepal',93000,NP,10,Wednesday,3409,1881,8061
mlbY_JRhFIM,बन्द नेपाल- Banda Nepal - The Shadows 'Nepal' (Lyrics Video),262,2013-11-12T15:26:39Z,10,5,69036,1038,34,285,3.305347222222222,0,The Shadows 'Nepal',93000,NP,15,Tuesday,4250,113,487
f4ek_hvtkeA,Naya Nepal - The Shadows 'Nepal' with Lyrics,405,2013-02-04T10:51:49Z,10,11,13178,393,20,245,60.5214949845679,0,The Shadows 'Nepal',93000,NP,10,Monday,4531,20,87
F2Rz-sAxNYM,Naya Nepal- The Shadows 'Nepal' © (Official Music Video),1337,2013-01-14T12:42:07Z,10,22,183021,2579,113,244,74.72543402777778,1,The Shadows 'Nepal',93000,NP,12,Monday,4552,281,1206
01Ocf5GFijo,Buddha Nepalko - The Shadows Nepal (Lyric Video),118,2014-09-13T08:48:57Z,10,17,700159,8264,168,395,37.637810570987654,4,Haude Project,61800,,8,Saturday,3945,1242,5324
